Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz
name,threads,size,seconds,throughput
rdrand32,1,128,3.703521,34.561702
rdrand32,2,256,3.791605,67.517585
rdrand32,3,384,3.828674,100.295820
rdrand32,4,512,3.684095,138.975781
rdrand32,5,640,3.778405,169.383642
rdrand32,6,768,4.036638,190.257329
rdrand32,7,896,4.708418,190.297475
rdrand32,8,1024,5.389998,189.981527
rdrand64,1,128,1.855851,68.971048
rdrand64,2,256,1.899368,134.781667
rdrand64,3,384,1.850441,207.518102
rdrand64,4,512,1.908944,268.211063
rdrand64,5,640,1.916424,333.955264
rdrand64,6,768,2.024829,379.291317
rdrand64,7,896,2.359279,379.776992
rdrand64,8,1024,2.711114,377.704510

Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
name,threads,size,seconds,throughput
rdrand32,1,128,3.230225,39.625728
rdrand32,2,256,3.345631,76.517701
rdrand32,3,384,3.447279,111.392215
rdrand32,4,512,3.421901,149.624453
rdrand32,5,640,4.454225,143.683791
rdrand32,6,768,5.729364,134.046300
rdrand32,7,896,6.189809,144.754073
rdrand32,8,1024,6.919154,147.994966
rdrand64,1,128,1.671279,76.588066
rdrand64,2,256,1.725395,148.371822
rdrand64,3,384,1.757026,218.551104
rdrand64,4,512,1.777568,288.033968
rdrand64,5,640,2.474023,258.687954
rdrand64,6,768,2.912715,263.671520
rdrand64,7,896,3.175851,282.129144
rdrand64,8,1024,3.750335,273.042289

Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
name,threads,size,seconds,throughput
rdrand32,1,128,6.939292,18.445686
rdrand32,2,256,7.052693,36.298193
rdrand32,3,384,7.078177,54.251257
rdrand32,4,512,8.404233,60.921683
rdrand32,5,640,10.250897,62.433562
rdrand32,6,768,11.473643,66.936022
rdrand32,7,896,13.665552,65.566324
rdrand32,8,1024,15.535630,65.913001
rdrand64,1,128,3.384207,37.822744
rdrand64,2,256,3.555375,72.003663
rdrand64,3,384,3.404893,112.778865
rdrand64,4,512,3.566698,143.550148
rdrand64,5,640,4.559242,140.374214
rdrand64,6,768,5.545930,138.479924
rdrand64,7,896,6.237473,143.647910
rdrand64,8,1024,7.293218,140.404415
